Año  ;Código Único  ;Tipo Institución 1  ;Tipo Institución 2  ;Tipo Institución 3  ;Región Sede  ;Provincia Sede  ;Comuna Sede  ;Área del conocimiento  ;Cine-F 97 Área;Cine-F 97 Subárea;Área Carrera Genérica;Cine-F 13 Área;Cine-F 13 Subárea;Tipo de institución  ;Código IES  ;Nombre IES  ;Código Sede  ;Nombre Sede  ;Código Carrera  ;Nombre Carrera  ;Modalidad  ;Jornada  ;Versión  ;Tipo Carrera  ;Plan Especial  ;Duración Estudios  ;Duración Titulación  ;Duración Total  ;Régimen ;Duración formal del Régimen ;Nombre Título  ;Grado Académico  ;Nivel Global  ;Nivel Carrera  ;Demre;Año Inicio  ;Acreditación Carrera o Programa ;Elegibilidad Beca Pedagogía  ;Pedagogía Medicina Odontología, Otro  ;Requisito Ingreso  ;Semestres reconocidos ;Área Actual  ;Área Dest Agricultura  ;Área Dest Ciencias  ;Área Dest C Soc Comerc Derecho  ;Área Dest Educación  ;Área Dest Humanidades y Artes   ;Área Dest Ing Ind Const  ;Área Dest Salud y Serv Soc  ;Área Dest Servicios  ;Ponderación Notas  ;Ponderación Ranking Notas  ;Ponderación Lenguaje  ;Ponderación Matemáticas  ;Ponderación Historia  ;Ponderación Ciencias  ;Ponderación Otros  ;Vacantes Semestre Uno  ;Vacantes Semestre Dos  ;Formato Valor;Matrícula Anual  ;Costo Titulación  ;Costo Certificado Diploma  ;Arancel Anual  ;Vigencia  
OFE_2022;I143S0C113J3V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Administración de Empresas e Ing. Asociadas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;113;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS;Semipresencial;Semipresencial;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN ADMINISTRACION DE EMPRESAS CON MENCION RECURSOS HUMANOS;;Pregrado;Profesional Sin Licenciatura;;2018;No Acreditada;No Elegible;;Educación Media;0;3;0;0;0;0;0;0;0;0;;;;;;;;11;0;Monto en Pesos;200000;200000;0;1812000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C115J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Técnico en Administración de Empresas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;115;TECNICO EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;Presencial;Diurno;1;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;;Pregrado;Técnico de Nivel Superior;;2011;No Acreditada;No Elegible;;Educación Media;0;3;0;0;1;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;572000;0;1786000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C115J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Técnico en Administración de Empresas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;115;TECNICO EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;Presencial;Vespertino;2;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS;;Pregrado;Técnico de Nivel Superior;;2011;No Acreditada;No Elegible;;Educación Media;0;3;0;0;1;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;601000;0;1812000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C118J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Técnico en Administración de Empresas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;118;TECNICO EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS;Presencial;Diurno;1;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS;;Pregrado;Técnico de Nivel Superior;;2011;No Acreditada;No Elegible;;Educación Media;0;3;0;0;1;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;572000;0;1786000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C118J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Administración y Comercio;Ciencias Sociales, Enseñanza Comercial y Derecho;Enseñanza Comercial y Administración;Técnico en Administración de Empresas;Administración de Empresas y Derecho;Educación Comercial y Administración;D;143;IP AIEP;0;SEDE LOS ANGELES;118;TECNICO EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS;Presencial;Vespertino;2;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS;;Pregrado;Técnico de Nivel Superior;;2011;No Acreditada;No Elegible;;Educación Media;0;3;0;0;1;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;601000;0;1801000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C124J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Salud;Salud y Servicios Sociales;Medicina;Técnico en Masoterapia;Salud y Bienestar;Salud;D;143;IP AIEP;0;SEDE LOS ANGELES;124;TECNICO EN MASOTERAPIA;Presencial;Diurno;1;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN MASOTERAPIA;;Pregrado;Técnico de Nivel Superior;;2022;No Acreditada;No Elegible;;Educación Media;0;7;0;0;0;0;0;0;1;0;;;;;;;;1;0;Monto en Pesos;200000;586000;0;1830000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C124J2V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Salud;Salud y Servicios Sociales;Medicina;Técnico en Masoterapia;Salud y Bienestar;Salud;D;143;IP AIEP;0;SEDE LOS ANGELES;124;TECNICO EN MASOTERAPIA;Presencial;Vespertino;1;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN MASOTERAPIA;;Pregrado;Técnico de Nivel Superior;;2022;No Acreditada;No Elegible;;Educación Media;0;7;0;0;0;0;0;0;1;0;;;;;;;;24;0;Monto en Pesos;200000;611000;0;1910000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C17J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ciencias;Informática;Técnico en Computación e Informática;Tecnología de la Información y la Comunicación (TIC);Tecnología de la Información y la Comunicación (TIC);D;143;IP AIEP;0;SEDE LOS ANGELES;17;PROGRAMACION Y ANALISIS DE SISTEMAS;Presencial;Diurno;1;Plan Regular;NO APLICA;7;1;7;1;7;TECNICO DE NIVEL SUPERIOR PROGRAMADOR ANALISTA DE SISTEMAS;;Pregrado;Técnico de Nivel Superior;;2016;No Acreditada;No Elegible;;Educación Media;0;2;0;1;0;0;0;0;0;0;;;;;;;;25;0;Monto en Pesos;200000;537000;0;1760000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C17J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ciencias;Informática;Técnico en Computación e Informática;Tecnología de la Información y la Comunicación (TIC);Tecnología de la Información y la Comunicación (TIC);D;143;IP AIEP;0;SEDE LOS ANGELES;17;PROGRAMACION Y ANALISIS DE SISTEMAS;Presencial;Vespertino;2;Plan Regular;NO APLICA;7;1;7;1;7;TECNICO DE NIVEL SUPERIOR PROGRAMADOR ANALISTA DE SISTEMAS;;Pregrado;Técnico de Nivel Superior;;2011;No Acreditada;No Elegible;;Educación Media;0;2;0;1;0;0;0;0;0;0;;;;;;;;20;0;Monto en Pesos;200000;537000;0;1760000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C219J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ciencias;Informática;Ingeniería en Computación e Informática;Tecnología de la Información y la Comunicación (TIC);Tecnología de la Información y la Comunicación (TIC);D;143;IP AIEP;0;SEDE LOS ANGELES;219;INGENIERIA DE EJECUCION EN INFORMATICA MENCION DESARROLLO DE SISTEMAS;Presencial;Diurno;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN INFORMATICA MENCION DESARROLLO DE SISTEMAS;;Pregrado;Profesional Sin Licenciatura;;2021;No Acreditada;No Elegible;;Educación Media;0;2;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1535000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C219J2V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ciencias;Informática;Ingeniería en Computación e Informática;Tecnología de la Información y la Comunicación (TIC);Tecnología de la Información y la Comunicación (TIC);D;143;IP AIEP;0;SEDE LOS ANGELES;219;INGENIERIA DE EJECUCION EN INFORMATICA MENCION DESARROLLO DE SISTEMAS;Presencial;Vespertino;1;Plan Regular;NO APLICA;8;1;8;1;8;INGENIERO DE EJECUCION EN INFORMATICA MENCION DESARROLLO DE SISTEMAS;;Pregrado;Profesional Sin Licenciatura;;2017;No Acreditada;No Elegible;;Educación Media;0;2;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1535000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C23J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ingeniería, Industria y Construcción;Arquitectura y Construcción;Construcción Civil;Ingeniería, Industria y Construcción;Arquitectura y Construcción;D;143;IP AIEP;0;SEDE LOS ANGELES;23;CONSTRUCCION CIVIL;Presencial;Diurno;1;Plan Regular;NO APLICA;8;1;8;1;8;CONSTRUCTOR CIVIL;;Pregrado;Profesional Sin Licenciatura;;2021;No Acreditada;No Elegible;;Educación Media;0;6;0;0;0;0;0;0;0;0;;;;;;;;1;0;Monto en Pesos;200000;200000;0;1829000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C23J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ingeniería, Industria y Construcción;Arquitectura y Construcción;Construcción Civil;Ingeniería, Industria y Construcción;Arquitectura y Construcción;D;143;IP AIEP;0;SEDE LOS ANGELES;23;CONSTRUCCION CIVIL;Presencial;Vespertino;2;Plan Regular;NO APLICA;8;1;8;1;8;CONSTRUCTOR CIVIL;;Pregrado;Profesional Sin Licenciatura;;2015;No Acreditada;No Elegible;;Educación Media;0;6;0;0;0;0;0;0;0;0;;;;;;;;55;0;Monto en Pesos;200000;200000;0;1767000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C24J2V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Arte y Arquitectura;Ingeniería, Industria y Construcción;Arquitectura y Construcción;Técnico en Dibujo Arquitectónico;Ingeniería, Industria y Construcción;Arquitectura y Construcción;D;143;IP AIEP;0;SEDE LOS ANGELES;24;TECNICO EN DIBUJO DE ARQUITECTURA Y OBRAS CIVILES;Presencial;Vespertino;1;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN DIBUJO DE ARQUITECTURA Y OBRAS CIVILES;;Pregrado;Técnico de Nivel Superior;;2020;No Acreditada;No Elegible;;Educación Media;0;6;0;0;0;0;0;1;0;0;;;;;;;;1;0;Monto en Pesos;200000;572000;0;1786000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C26J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ingeniería, Industria y Construcción;Arquitectura y Construcción;Técnico en Construcción y Obras Civiles;Ingeniería, Industria y Construcción;Arquitectura y Construcción;D;143;IP AIEP;0;SEDE LOS ANGELES;26;TECNICO EN CONSTRUCCION;Presencial;Diurno;1;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN CONSTRUCCION;;Pregrado;Técnico de Nivel Superior;;2013;No Acreditada;No Elegible;;Educación Media;0;6;0;0;0;0;0;1;0;0;;;;;;;;20;0;Monto en Pesos;200000;576000;0;1800000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C26J2V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ingeniería, Industria y Construcción;Arquitectura y Construcción;Técnico en Construcción y Obras Civiles;Ingeniería, Industria y Construcción;Arquitectura y Construcción;D;143;IP AIEP;0;SEDE LOS ANGELES;26;TECNICO EN CONSTRUCCION;Presencial;Vespertino;1;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN CONSTRUCCION;;Pregrado;Técnico de Nivel Superior;;2013;No Acreditada;No Elegible;;Educación Media;0;6;0;0;0;0;0;1;0;0;;;;;;;;1;0;Monto en Pesos;200000;576000;0;1800000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C26J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Ingeniería, Industria y Construcción;Arquitectura y Construcción;Técnico en Construcción y Obras Civiles;Ingeniería, Industria y Construcción;Arquitectura y Construcción;D;143;IP AIEP;0;SEDE LOS ANGELES;26;TECNICO EN CONSTRUCCION;Presencial;Vespertino;2;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN CONSTRUCCION;;Pregrado;Técnico de Nivel Superior;;2013;No Acreditada;No Elegible;;Educación Media;0;6;0;0;0;0;0;1;0;0;;;;;;;;30;0;Monto en Pesos;200000;566000;0;1800000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C27J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Servicios;Servicios de Seguridad;Técnico en Prevención de Riesgos;Servicios;Servicios de Higiene y Salud Ocupacional;D;143;IP AIEP;0;SEDE LOS ANGELES;27;PREVENCION DE RIESGOS;Presencial;Diurno;1;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN PREVENCION DE RIESGOS;;Pregrado;Técnico de Nivel Superior;;2011;No Acreditada;No Elegible;;Educación Media;0;8;0;0;0;0;0;0;0;1;;;;;;;;20;0;Monto en Pesos;200000;573000;0;1790000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C27J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Tecnología;Servicios;Servicios de Seguridad;Técnico en Prevención de Riesgos;Servicios;Servicios de Higiene y Salud Ocupacional;D;143;IP AIEP;0;SEDE LOS ANGELES;27;PREVENCION DE RIESGOS;Presencial;Vespertino;2;Plan Regular;NO APLICA;5;1;5;1;5;TECNICO DE NIVEL SUPERIOR EN PREVENCION DE RIESGOS;;Pregrado;Técnico de Nivel Superior;;2011;No Acreditada;No Elegible;;Educación Media;0;8;0;0;0;0;0;0;0;1;;;;;;;;21;0;Monto en Pesos;200000;583000;0;1780000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C28J1V1;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Ciencias Sociales;Salud y Servicios Sociales;Servicios Sociales;Trabajo Social;Salud y Bienestar;Bienestar;D;143;IP AIEP;0;SEDE LOS ANGELES;28;TRABAJO SOCIAL;Presencial;Diurno;1;Plan Regular;NO APLICA;8;1;8;1;8;TRABAJADOR SOCIAL;;Pregrado;Profesional Sin Licenciatura;;2011;No Acreditada;No Elegible;;Educación Media;0;7;0;0;0;0;0;0;0;0;;;;;;;;35;0;Monto en Pesos;200000;200000;0;1740000;Vigente con Alumnos Nuevos
OFE_2022;I143S0C28J2V2;Institutos Profesionales;Institutos Profesionales;Institutos Profesionales;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;Ciencias Sociales;Salud y Servicios Sociales;Servicios Sociales;Trabajo Social;Salud y Bienestar;Bienestar;D;143;IP AIEP;0;SEDE LOS ANGELES;28;TRABAJO SOCIAL;Presencial;Vespertino;2;Plan Regular;NO APLICA;8;1;8;1;8;TRABAJADOR SOCIAL;;Pregrado;Profesional Sin Licenciatura;;2011;No Acreditada;No Elegible;;Educación Media;0;7;0;0;0;0;0;0;0;0;;;;;;;;31;0;Monto en Pesos;200000;200000;0;1770000;Vigente con Alumnos Nuevos
